"codmpio","ano","cod_dpto","depto","mpio","pobl_rur","pobl_urb","pobl_tot","indrural","altura","discapital","docen_total","t_establ","alumn_med","s11_ingles","s11_lectu","df_ing_propios","df_gast_inv","df_desemp_fisc","homicidios","extorsion","ataq_instpol","llegadas_pasajeros_nacionales","llegadas_internacionales","visitantes_extranjeros_no_residentes","visitantes_pnn","prestadores_de_servicios_turisticos_activos","establecimientos_de_alojamiento_y_hospedaje","actividades_terciarias","valor_agregado","participacion_terciarias","pdet","total_sisben","tasa_sisben","post","vocacion_turistica","tasa_homicidios","tasa_ataq_instpol","tasa_extorsion","log_t_establ","log_pobl_tot","tasa_docentes","tasa_alumnos_med","tasa_urbanizacion","valor_agregado_pc"
"05021",2017,"05","Antioquia","Alejandría",1589,1804,3393,0.468317121267319,1750,61.1142158508301,35,16,93,44.9150772094727,49.409294128418,57.7050379392666,83.2178542304659,69.9772880416267,2,,0,0,0,4,0,0,0,38.442633886669,51.2732718322556,74.9759719107393,0,4275,125.994694960212,1,0,58.9448865310934,0,,2.83321334405622,8.12976444579417,1.03153551429413,2.74093722369584,53.1682876510463,1.51114859511511
"05021",2018,"05","Antioquia","Alejandría",2172,2485,4657,0.466394662857056,1750,61.1142158508301,41,16,52,46.0057716369629,50.7914886474609,46.81179365,81.6278747,62.87944648,,,0,0,0,3,0,0,0,39.8042389186212,52.3343388966653,76.057593843337,0,4258,91.4322525230835,1,0,,0,,2.83321334405622,8.44634145044429,0.880395104144299,1.11659866867082,53.3605325316728,1.12377794495738
"05021",2019,"05","Antioquia","Alejandría",2105,2564,4669,0.450846016407013,1750,61.1142158508301,42,15,51,44.9850196838379,47.4066009521484,47.8624063676787,88.1014455503542,68.0672760600036,,2,0,0,0,2,0,0,0,44.4182319161112,56.8559825992553,78.1241126887023,0,4422,94.7097879631613,1,0,,0,42.8357249946455,2.77258872223978,8.44891435066294,0.899550224887556,1.09231098736346,54.9153994431356,1.21773361746103
"05021",2020,"05","Antioquia","Alejandría",2061,2637,4698,0.438697308301926,1750,61.1142158508301,43,15,57,44.8210983276367,45.4808349609375,43.15,79.6,57.69,1,2,,0,0,8,0,0,0,43.0633260806528,54.9563658084935,78.3591226368855,0,4531,96.4452958705832,1,0,21.2856534695615,,42.571306939123,2.77258872223978,8.45510499910282,0.915283099191145,1.21328224776501,56.1302681992337,1.16978215854605
"05021",2021,"05","Antioquia","Alejandría",2037,2734,4771,0.426954507827759,1750,61.1142158508301,43,15,52,45.9055213928223,46.6565971374512,32.0443298639359,86.4809460492408,63.1307487334693,,,,0,0,121,0,0,0,50.8560089716648,69.3602479027993,73.3215501809247,0,3804,79.7317124292601,1,0,,,,2.77258872223978,8.47052078321781,0.901278557954307,1.08991825613079,57.3045483127227,1.45378846998112
"05030",2013,"05","Antioquia","Amagá",12805,16312,29117,0.439777463674545,1400,29.8788566589355,211,26,597,46.4885520935059,,75.68,83.26,73.5,25,11,0,0,0,6,0,0,0,165.860373053181,270.48460731397,61.3197086149361,0,0,0,0,0,85.8604938695607,0,37.7786173026067,3.29583686600433,10.2791118186333,0.724662568259093,2.05034859360511,56.022255040011,0.928957678723667
"05030",2014,"05","Antioquia","Amagá",12799,16540,29339,0.436245262622833,1400,29.8788566589355,194,26,597,46.5108070373535,48.4764823913574,77.7297872557502,81.7009361315354,74.1035852370872,11,2,0,0,0,10,0,0,0,188.386097557258,315.780855199998,59.6572257168489,0,0,0,0,0,37.4927570810184,0,6.81686492382153,3.29583686600433,10.286707051697,0.661235897610689,2.03483417976073,56.3754729200041,1.07631771771362
"05030",2015,"05","Antioquia","Amagá",12798,16757,29555,0.433023184537888,1400,29.8788566589355,198,26,587,46.4648666381836,46.7931938171387,77.8862755161069,82.4767041721345,75.780399004729,8,3,0,0,0,23,0,0,0,197.410339348599,333.042072333416,59.2748952003178,0,0,0,0,0,27.0681779732702,0,10.1505667399763,3.29583686600433,10.2940420479085,0.669937404838437,1.9861275587887,56.697682287261,1.12685526081345
"05030",2016,"05","Antioquia","Amagá",12797,16973,29770,0.429862290620804,1400,29.8788566589355,216,27,578,47.6085205078125,49.0272254943848,78.8,80.47,75.56,9,5,0,0,0,10,0,0,0,206.345541187829,358.089540846237,57.6240067498742,0,26506,89.0359422237152,0,0,30.2317769566678,0,16.7954316425932,3.3322045101752,10.3012900443089,0.725562646960027,1.94155189788378,57.0137722539469,1.20285368104211
"05030",2017,"05","Antioquia","Amagá",12806,17174,29980,0.427151441574097,1400,29.8788566589355,204,27,583,46.2422065734863,47.5595207214355,80.7173912125571,80.4894912895375,76.4048064327703,13,4,0,0,0,15,0,0,0,226.158820601911,468.548772886688,48.267935738806,0,27133,90.5036691127418,1,0,43.3622414943296,0,13.3422281521014,3.3322045101752,10.3083191266707,0.680453635757171,1.94462975316878,57.2848565710474,1.56287115706033
"05030",2018,"05","Antioquia","Amagá",16043,14184,30227,0.530750632286072,1400,29.8788566589355,204,27,495,45.441837310791,48.2494735717773,81.20368605,82.45023524,77.44549017,5,1,0,0,0,32,0,0,0,243.258512579683,492.098703724694,49.4328700194614,0,27604,91.3223277202501,1,0,16.5415026300989,0,3.30830052601978,3.3322045101752,10.3165239261406,0.674893307308036,1.63760876037979,46.9249346610646,1.62801040038606
"05030",2019,"05","Antioquia","Amagá",16045,14732,30777,0.521330893039703,1400,29.8788566589355,201,26,473,45.7539100646973,47.4492721557617,82.7968141009686,81.3540044528138,77.1368755159717,15,2,0,0,0,28,0,0,0,262.962454480186,535.86304427379,49.072698199697,0,27326,88.7870812619813,1,0,48.7376937323326,0,6.49835916431101,3.29583686600433,10.3345554280238,0.653085096013257,1.53686194235955,47.8669136043149,1.74111526228609
